"","head.bee","gaster.bee","mesosoma.bee","head.ant","gaster.ant","mesosoma.ant","head.overlap","gaster.overlap","mesosoma.overlap"
"608",96,1,1,0,0,0,0,0,0
"609",0,0,6,8,0,0,0,0,0
"610",0,1,0,0,244,2,0,0,0
"611",17,0,64,0,0,0,0,0,0
"612",0,431,0,0,75,0,0,21,0
"613",0,6,29,8,1,14,0,0,0
"614",0,0,0,0,0,0,0,0,0
"615",0,0,4,6,0,6,0,0,0
"616",0,0,17,0,0,48,0,0,0
"617",0,0,0,8,0,0,0,0,0
"618",8,0,20,3,50,20,0,0,0
"619",0,0,52,0,1,0,0,0,0
"620",0,431,1,0,0,0,0,0,0
"621",33,0,0,0,1,0,0,0,0
"622",20,12,14,6,0,21,0,0,0
"623",11,0,18,1,0,0,0,0,0
"624",42,364,0,10,0,170,1,0,0
"625",0,0,108,0,0,0,0,0,0
"626",18,0,11,0,0,0,0,0,0
"627",21,332,1,10,3,33,0,0,0
"628",0,3,6,0,0,0,0,0,0
"629",18,0,0,2,0,186,0,0,0
"630",2,4,0,0,0,0,0,0,0
"631",2,0,115,10,1,0,0,0,0
"632",0,5,0,0,0,0,0,0,0
"633",0,4,0,4,0,0,0,0,0
"634",0,4,0,7,0,0,0,0,0
"635",0,0,14,54,36,171,0,0,0
"636",16,0,0,24,1,0,0,0,0
"637",21,4,0,8,1,42,0,0,0
"638",0,0,0,0,0,247,0,0,0
"639",21,0,58,0,1,0,0,0,0
"640",48,0,0,0,0,1,0,0,0
"641",0,9,0,0,1,60,0,0,0
"642",100,5,0,11,1,0,0,0,0
"643",4,1,0,1,0,0,0,0,0
"644",12,0,0,0,0,44,0,0,0
"645",0,283,0,4,0,0,0,0,0
"646",0,0,0,0,0,0,0,0,0
