"","head.bee","gaster.bee","mesosoma.bee","head.ant","gaster.ant","mesosoma.ant","head.overlap","gaster.overlap","mesosoma.overlap"
"593",0,0,0,8,1,168,0,0,0
"594",347,0,0,143,0,102,16,0,0
"595",1,0,0,7,1,0,0,0,0
"596",0,0,0,0,2,0,0,0,0
"597",2,699,0,7,206,0,0,29,0
"598",347,699,0,8,2,0,1,2,0
"599",38,0,0,8,206,102,0,0,0
"600",38,699,3,7,19,102,0,2,0
"601",0,0,3,7,0,102,0,0,0
"602",38,4,0,2,0,0,0,0,0
"603",0,4,3,0,19,102,0,0,0
"604",1,4,0,0,19,0,0,0,0
"605",0,4,871,7,2,0,0,0,0
"606",0,4,0,2,0,1,0,0,0
"607",0,0,0,140,19,0,0,0,0
"608",38,0,0,143,1,102,0,0,0
"609",38,0,3,2,2,102,0,0,0
"610",0,0,0,2,206,102,0,0,0
"611",347,0,3,7,0,1,0,0,0
"612",0,0,3,143,0,102,0,0,0
"613",2,0,0,0,1,0,0,0,0
"614",2,0,0,0,2,0,0,0,0
"615",0,0,0,8,206,0,0,0,0
"616",1,0,3,7,0,0,0,0,0
"617",38,0,3,7,2,102,0,0,0
"618",2,0,0,143,1,0,0,0,0
"619",0,4,0,7,6,0,0,0,0
"620",1,0,0,7,2,0,0,0,0
"621",1,0,0,0,1,0,0,0,0
"622",0,0,0,143,0,102,0,0,0
"623",0,4,3,140,2,102,0,0,0
"624",2,0,3,0,206,102,0,0,0
"625",1,0,3,8,1,1,0,0,0
"626",1,0,0,7,19,0,0,0,0
"627",347,0,3,2,0,102,0,0,0
"628",38,0,0,8,2,102,0,0,0
"629",38,0,0,0,2,0,0,0,0
"630",0,699,0,0,19,0,0,2,0
"631",0,0,3,143,2,0,0,0,0
"632",38,0,0,2,0,0,0,0,0
"633",38,0,871,8,6,1,0,0,0
"634",0,0,0,7,1,102,0,0,0
"635",1,0,3,0,1,1,0,0,0
"636",38,0,0,0,1,0,0,0,0
"637",0,699,3,0,19,102,0,2,0
"638",38,0,3,0,19,102,0,0,0
"639",2,4,0,7,2,0,0,0,0
"640",38,0,0,7,6,168,0,0,0
"641",0,4,871,0,2,1,0,0,0
"642",347,699,0,0,6,0,0,0,0
"643",347,0,3,0,0,168,0,0,0
"644",0,0,0,0,1,0,0,0,0
"645",2,0,0,0,0,1,0,0,0
"646",0,0,0,0,6,1,0,0,0
